,Expected Returns,Standard Deviations
0,0.43807472139803894,0.25472560956887674
1,0.44727436646983243,0.2564045197919932
2,0.45653262937165473,0.25820696959737316
3,0.46584988210999256,0.26013497295369725
4,0.4752264990428148,0.2621904279562136
5,0.48466285689421107,0.2643751148983532
6,0.49415933476962115,0.2666906747825928
7,0.5037163141703256,0.26913860559465735
8,0.5133341790088606,0.2717203291710491
9,0.5230133156240278,0.2744371520334358
10,0.5327541127965081,0.27729026613073693
11,0.5425569617637198,0.28028075178564804
12,0.5524222562355361,0.28340958129902205
13,0.5623503924101108,0.28667762314506584
14,0.5723417689890158,0.2900856466892853
15,0.5823967871933475,0.29363432735311906
16,0.5925158507794053,0.29732425215408975
17,0.6026993660550048,0.30115592554190485
18,0.6129477418950011,0.30512977546020414
19,0.6232613897577985,0.30924615956371193
20,0.6336407237014292,0.31350537151995067
21,0.6440861604002792,0.3179076473380478
22,0.6545981191610017,0.3224531716648292
23,0.6651770219394477,0.3271420839945931
24,0.6758232933571506,0.3319744847523221
25,0.6865373607184739,0.3369504412050744
26,0.6973196540269295,0.3420699931716323
27,0.7081706060025357,0.3473331585002913
28,0.7190906520987179,0.3527399382962373
29,0.7300802305198928,0.3582903218768736
30,0.7411397822381967,0.363984291448074
31,0.752269751011186,0.36982182648908307
32,0.7634705833996571,0.3758029078474439
33,0.774742728784692,0.3819275215416839
34,0.7860866393857924,0.3881956622728044
35,0.7975027702785376,0.39460733665625125
36,0.8089915794129527,0.4011625661749254
37,0.820553527630985,0.4078613898702928
38,0.832189078685099,0.41470386677667714
39,0.843898699256378,0.42169042845940297
40,0.8556828589733587,0.42883269954685643
41,0.8675420304299504,0.4361362699449973
42,0.8794766892044976,0.4436011341344302
43,0.8914873138783423,0.4512273137703994
44,0.9035743860551344,0.4590530934179308
45,0.9157383903792018,0.46713340393405256
46,0.9279798145550988,0.47547226516541036
47,0.9402991493666348,0.48694258853733646
48,0.9526968886966742,0.510839745148046
49,0.965173529545972,0.5629080715107365
